name,location.coordinate.longitude,location.coordinate.latitude,review_count,rating,categories
Soprano's Pizza & Pasta,-122.3879395,47.6858711,109,3,"[[""Pizza"",""pizza""],[""Italian"",""italian""],[""Sandwiches"",""sandwiches""]]"
Zayda Buddy's Pizza & Bar,-122.382827,47.666873,246,3.5,"[[""Pizza"",""pizza""],[""Bars"",""bars""]]"
Malena's Taco Shop,-122.382569611073,47.669503390789,105,3.5,"[[""Mexican"",""mexican""]]"
Ballard Brothers Seafood & Burgers,-122.37654004518,47.667344506282,267,3.5,"[[""Seafood"",""seafood""],[""Burgers"",""burgers""],[""Fish \u0026 Chips"",""fishnchips""]]"
Sunny Teriyaki,-122.383393719792,47.6686249673367,63,3.5,"[[""Japanese"",""japanese""]]"
Salmon Bay Café,-122.3829193,47.6641998,108,3.5,"[[""American (Traditional)"",""tradamerican""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Scandinavian Specialties,-122.377121,47.6782417,26,4.5,"[[""Specialty Food"",""gourmet""],[""Scandinavian"",""scandinavian""]]"
The Dray,-122.36492002012,47.676127015582,155,4.5,"[[""Beer, Wine \u0026 Spirits"",""beer_and_wine""],[""Sandwiches"",""sandwiches""]]"
Volterra,-122.3852768,47.6676292,387,3.5,"[[""Italian"",""italian""]]"
Ballard Loft,-122.3811109,47.6645263,236,3.5,"[[""Sports Bars"",""sportsbars""],[""American (Traditional)"",""tradamerican""]]"
Blue Heron,-122.387093,47.655956,36,4.5,"[[""Sandwiches"",""sandwiches""]]"
Take 5 Urban Market,-122.3662567,47.67939,152,4.5,"[[""Delis"",""delis""],[""Convenience Stores"",""convenience""],[""Grocery"",""grocery""]]"
Shelter Lounge,-122.3792191,47.6644707,222,3.5,"[[""Lounges"",""lounges""],[""American (New)"",""newamerican""]]"
The Blue Glass,-122.36483150714,47.676108955734,95,4,"[[""American (Traditional)"",""tradamerican""]]"
BalMar,-122.3863907,47.6683884,244,3.5,"[[""American (New)"",""newamerican""],[""Lounges"",""lounges""],[""Dance Clubs"",""danceclubs""]]"
El Camión,-122.375717,47.675777,3,4.5,"[[""Mexican"",""mexican""],[""Food Trucks"",""foodtrucks""]]"
Shiku Sushi,-122.383255,47.666821,302,4,"[[""Sushi Bars"",""sushi""],[""Lounges"",""lounges""],[""Japanese"",""japanese""]]"
Honore Artisan Bakery,-122.3747177,47.6793709,330,4.5,"[[""Bakeries"",""bakeries""],[""French"",""french""],[""Coffee \u0026 Tea"",""coffee""]]"
The Villa,-122.400452,47.653904,24,4,"[[""Italian"",""italian""]]"
Bad Albert's Tap & Grill,-122.380768,47.664707,97,4,"[[""Pubs"",""pubs""],[""American (Traditional)"",""tradamerican""],[""Sports Bars"",""sportsbars""]]"
Brimmer & Heeltap,-122.3625582,47.6686121,173,4,"[[""Gastropubs"",""gastropubs""],[""American (New)"",""newamerican""]]"
Vera's Restaurant,-122.3849106,47.6683884,88,3.5,"[[""Diners"",""diners""],[""American (Traditional)"",""tradamerican""]]"
The Old Pequliar,-122.380035,47.668938,96,3.5,"[[""Pubs"",""pubs""],[""Irish"",""irish""]]"
Katina's Kitchen,-122.389222159982,47.6580255478621,29,3.5,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""Greek"",""greek""]]"
Ninja BBQ,-122.384713366628,47.6680878549814,5,4,"[[""Barbeque"",""bbq""],[""Food Stands"",""foodstands""],[""Street Vendors"",""streetvendors""]]"
Vietnam Cafe & Sandwich,-122.376274466515,47.6703254878521,30,3.5,"[[""Vietnamese"",""vietnamese""],[""Cafes"",""cafes""],[""Sandwiches"",""sandwiches""]]"
Tarasco Mexican Restaurant,-122.3748016,47.6796608,47,3.5,"[[""Mexican"",""mexican""],[""Bars"",""bars""],[""Karaoke"",""karaoke""]]"
Taki's Mad Greek,-122.3770676,47.6917915,142,4,"[[""Greek"",""greek""],[""Mediterranean"",""mediterranean""]]"
Conor Byrne Pub,-122.3817368,47.6655388,87,4,"[[""Pubs"",""pubs""],[""Irish"",""irish""]]"
Teriyaki Bowl,-122.3892517,47.6579323,30,4,"[[""Japanese"",""japanese""]]"
Sunny Teriyaki,-122.384307,47.656208,54,4.5,"[[""Japanese"",""japanese""]]"
The Original Pancake House,-122.377174,47.687961,210,3.5,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""American (Traditional)"",""tradamerican""]]"
Highliner Public House,-122.3803277,47.6554366,57,4,"[[""Pubs"",""pubs""],[""Seafood"",""seafood""],[""American (Traditional)"",""tradamerican""]]"
Miro Tea,-122.3849335,47.667511,219,4,"[[""Tea Rooms"",""tea""],[""Desserts"",""desserts""],[""Creperies"",""creperies""]]"
Wild Orchid,-122.376857176423,47.6914800703526,49,3.5,"[[""Thai"",""thai""]]"
418 Public House,-122.362072840333,47.6760352402925,61,4,"[[""Pubs"",""pubs""],[""Mexican"",""mexican""]]"
The Tin Hat,-122.36298888832,47.676087576802,162,4,"[[""Dive Bars"",""divebars""],[""American (Traditional)"",""tradamerican""]]"
The Thirsty Fish,-122.3751907,47.6952286,41,4,"[[""American (New)"",""newamerican""]]"
Taco Time,-122.3954468,47.6684418,23,3.5,"[[""Mexican"",""mexican""],[""Fast Food"",""hotdogs""]]"
Munch Café,-122.3551788,47.6922379,64,4.5,"[[""Burgers"",""burgers""],[""Sandwiches"",""sandwiches""]]"
No Bones About It,-122.367861160371,47.6647227534794,18,5,"[[""Food Trucks"",""foodtrucks""],[""Vegan"",""vegan""]]"
Chinook's,-122.381042480469,47.6555519104004,377,4,"[[""Seafood"",""seafood""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Dante's Inferno Dogs,-122.381149,47.668941,101,4,"[[""Hot Dogs"",""hotdog""],[""Food Stands"",""foodstands""],[""Street Vendors"",""streetvendors""]]"
El Taco Loco,-122.376669,47.665121,27,4,"[[""Mexican"",""mexican""],[""Food Trucks"",""foodtrucks""],[""Sandwiches"",""sandwiches""]]"
Giddy Up Burgers,-122.3675379,47.6624146,120,4,"[[""Burgers"",""burgers""],[""American (New)"",""newamerican""]]"
Narwhal,-122.380028,47.6636009,3,4.5,"[[""Food Trucks"",""foodtrucks""],[""Seafood"",""seafood""],[""Live/Raw Food"",""raw_food""]]"
Pono Ranch,-122.3763716,47.6616782,133,2.5,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""American (Traditional)"",""tradamerican""]]"
Lamplighter Public House,-122.3669891,47.6908798,23,4.5,"[[""American (Traditional)"",""tradamerican""],[""Pubs"",""pubs""]]"
Thai Thani Kitchen,-122.3838196,47.6684608,125,3.5,"[[""Thai"",""thai""]]"
Pho Vietnam,-122.376419,47.680721,106,4,"[[""Vietnamese"",""vietnamese""],[""Soup"",""soup""]]"
Molly Maguire's Pub & Fine Eatery,-122.36404118019,47.676078124471005,53,4,"[[""Pubs"",""pubs""],[""Irish"",""irish""]]"
Grog,-122.3851189,47.6680429,14,4,"[[""Cocktail Bars"",""cocktailbars""],[""Seafood"",""seafood""]]"
Ballard Bridge Cafe,-122.3739093,47.6622731,73,3,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""Cafes"",""cafes""],[""Sandwiches"",""sandwiches""]]"
Mike's Chili Parlor,-122.3757477,47.6627884,221,3.5,"[[""Dive Bars"",""divebars""],[""American (Traditional)"",""tradamerican""]]"
Lock & Keel Tavern,-122.381813,47.665592,63,3.5,"[[""Pubs"",""pubs""],[""Barbeque"",""bbq""]]"
The Leary Traveler,-122.3656769,47.6602287,158,4,"[[""Pubs"",""pubs""],[""American (New)"",""newamerican""]]"
Portalis Wine Shop,-122.3765542,47.6793868,97,4,"[[""Wine Bars"",""wine_bars""],[""Mediterranean"",""mediterranean""],[""Gastropubs"",""gastropubs""]]"
Martino's,-122.355250641704,47.6827823370695,95,4,"[[""American (New)"",""newamerican""]]"
The Coffee Spot,-122.396220134921,47.6679918552954,1,5,"[[""Cafes"",""cafes""]]"
Mae Ploy Thai Cuisine,-122.3766708,47.6757698,54,3,"[[""Thai"",""thai""]]"
Five Guys Burgers and Fries,-122.3762268,47.6686781,24,3.5,"[[""Fast Food"",""hotdogs""],[""Burgers"",""burgers""]]"
The Ridgeback Cafe,-122.3626783393,47.676116920819,229,3.5,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""Creperies"",""creperies""]]"
Bento Sushi,-122.3771591,47.6907692,104,3,"[[""Japanese"",""japanese""],[""Sushi Bars"",""sushi""]]"
Thai Siam,-122.377182,47.6889305,307,4,"[[""Thai"",""thai""]]"
Kasbah Moroccan Restaurant,-122.375862,47.690445,92,3,"[[""Moroccan"",""moroccan""],[""Mediterranean"",""mediterranean""],[""Middle Eastern"",""mideastern""]]"
Jimmy John's,-122.376267541262,47.6688661677433,8,3.5,"[[""Sandwiches"",""sandwiches""]]"
Bay Cafe,-122.379178228928,47.6555930532198,85,3.5,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""American (Traditional)"",""tradamerican""]]"
Four Spoons Cafe,-122.3674393,47.6908798,132,3.5,"[[""Breakfast \u0026 Brunch"",""breakfast_brunch""],[""Cafes"",""cafes""]]"
Ballard Mandarin,-122.365921,47.6689186,67,3.5,"[[""Chinese"",""chinese""]]"
Restaurante Michoacan,-122.3771667,47.6891594,65,3.5,"[[""Mexican"",""mexican""]]"
Teriyaki 1st,-122.366319447756,47.6906948536634,35,4,"[[""Japanese"",""japanese""]]"
Caffe Appassionato,-122.383766,47.656143,47,4,"[[""Coffee \u0026 Tea"",""coffee""],[""Cafes"",""cafes""],[""Sandwiches"",""sandwiches""]]"
Little Chinook's,-122.3809891,47.6552048,57,3.5,"[[""Seafood"",""seafood""]]"
Veraci Pizza,-122.3632813,47.6688614,333,4,"[[""Pizza"",""pizza""]]"
The Dish,-122.3656693,47.6602707,373,4,"[[""American (Traditional)"",""tradamerican""],[""Breakfast \u0026 Brunch"",""breakfast_brunch""]]"
Mai Thaiku,-122.3553749,47.6780594,98,4,"[[""Thai"",""thai""]]"
La Crespella,-122.383815,47.667757,2,5,"[[""Farmers Market"",""farmersmarket""],[""Street Vendors"",""streetvendors""],[""Creperies"",""creperies""]]"
Bourbon & Bones,-122.3656616,47.6601791,129,3.5,"[[""Barbeque"",""bbq""]]"
Oliver's Twist,-122.35517042395,47.67941535736,271,4,"[[""Tapas Bars"",""tapas""],[""American (New)"",""newamerican""]]"
Taquería Tequila Authentic Mexican Food,-122.360977,47.690395,190,4,"[[""Mexican"",""mexican""]]"
McDonald's,-122.373184,47.668251,26,3,"[[""Fast Food"",""hotdogs""],[""Burgers"",""burgers""]]"
Tony's Teriyaki & Pho,-122.376503,47.675049,26,2.5,"[[""Vietnamese"",""vietnamese""],[""Japanese"",""japanese""],[""Sandwiches"",""sandwiches""]]"
Pagliacci Pizza,-122.3674774,47.6904182,39,4,"[[""Pizza"",""pizza""],[""Italian"",""italian""]]"
Taco Bell,-122.376006,47.672103,47,2.5,"[[""Fast Food"",""hotdogs""],[""Mexican"",""mexican""],[""Tex-Mex"",""tex-mex""]]"
The Ridge,-122.35552383598,47.681300056033,137,4,"[[""Pizza"",""pizza""],[""Pubs"",""pubs""],[""Sandwiches"",""sandwiches""]]"
Sam's Sushi Bar & Grill,-122.3845215,47.6689186,165,3.5,"[[""Sushi Bars"",""sushi""],[""Japanese"",""japanese""]]"
Stumbling Goat Bistro,-122.3552017,47.6784554,379,4,"[[""American (New)"",""newamerican""]]"
Moshi Moshi Sushi,-122.3835907,47.6670418,370,3.5,"[[""Sushi Bars"",""sushi""],[""Japanese"",""japanese""]]"
Mr. Gyros,-122.3555679,47.6901894,651,4.5,"[[""Greek"",""greek""],[""Middle Eastern"",""mideastern""],[""Mediterranean"",""mediterranean""]]"
Seattle Biscuit Company,-122.383781433105,47.6648216247559,33,3.5,"[[""Bakeries"",""bakeries""],[""Sandwiches"",""sandwiches""],[""Food Trucks"",""foodtrucks""]]"
Drunky's Two Shoe BBQ,-122.363368,47.657228,39,3.5,"[[""Barbeque"",""bbq""]]"
Gorgeous George's Mediterranean Kitchen,-122.3555374,47.6853294,152,4,"[[""Middle Eastern"",""mideastern""],[""Greek"",""greek""],[""Mediterranean"",""mediterranean""]]"
